d1+Su;d2+Su;d3+Su;d1;d2;d3;x_we;y_we;x_wy;y_wy
1,384124692;3,986058941;1,576666877;1,414213562;4,049691346;1,61245155;0,2;1,4;0,180164884;1,404280438
1,568156135;4,170698966;1,29208607;1,61245155;4,123105626;1,414213562;0,2;1,6;0,111825426;1,6437061
1,699878968;4,247254433;1,13915762;1,811077028;4,204759208;1,216552506;0,2;1,8;0,098801694;1,789863464
1,934296143;4,249388329;0,997345151;2,009975124;4,294182111;1,019803903;0,2;2;0,161128534;1,980951474
2,121974585;4,34430197;0,693681621;2,209072203;4,39089968;0,824621125;0,2;2,2;0,201994496;2,2692693
2,373481004;4,417176893;0,581845785;2,408318916;4,494441011;0,632455532;0,2;2,4;0,243614681;2,472871752
2,550335998;4,596857915;0,476260892;2,607680962;4,604345773;0,447213595;0,2;2,6;0,166032387;2,550199694
2,826851784;4,636912801;0,277948134;2,80713377;4,720169488;0,282842712;0,2;2,8;0,249495586;2,819702365
2,929613544;4,795772941;0,065255802;3,006659276;4,841487375;0,2;0,2;3;0,083870166;2,939072378
3,144306872;4,894182799;0,253371688;3,206243908;4,967896939;0,282842712;0,2;3,2;0,226770454;3,129191979
3,157680429;4,790270078;6,21639551;3,224903099;4,816637832;6,212889827;0,4;-3,2;0,271566281;-1,775159189
3,023997677;4,646129592;5,988303275;3,02654919;4,686149806;6,013318551;0,4;-3;0,509258787;-2,972176488
2,738749018;4,471541731;5,687811008;2,828427125;4,5607017;5,813776741;0,4;-2,8;0,525265902;-2,672614283
2,598252627;4,389264894;5,54215667;2,630589288;4,440720662;5,614267539;0,4;-2,6;0,525001519;-2,527485525
2,38637067;4,239691264;5,294362379;2,433105012;4,326661531;5,414794548;0,4;-2,4;0,585899776;-2,280194759
2,224139203;4,180601506;5,150561659;2,236067977;4,219004622;5,215361924;0,4;-2,2;0,52684619;-2,137648629
2,024786635;3,968065677;4,982639028;2,039607805;4,118252056;5,015974482;0,4;-2;0,539605341;-1,952474641
1,793293669;3,966490625;4,794464017;1,843908891;4,024922359;4,816637832;0,4;-1,8;0,295841916;-0,898706007
1,684418377;3,926154071;4,626696663;1,64924225;3,939543121;4,617358552;0,4;-1,6;0,462644506;-1,610596146
1,340680836;3,832157363;4,37164643;1,456021978;3,862641583;4,418144407;0,4;-1,4;0,267832963;-0,643627523
1,206226877;3,729965777;4,19431392;1,264911064;3,794733192;4,219004622;0,4;-1,2;0,366907368;-1,16026424
1,060573149;3,711726853;4,002795281;1,077032961;3,736308338;4,019950248;0,4;-1;0,412331597;-0,979374883
0,857554429;3,617277617;3,753989409;0,894427191;3,687817783;3,820994635;0,4;-0,8;0,456281457;-0,726124995
0,66833832;3,548292468;3,559172701;0,721110255;3,649657518;3,622154055;0,4;-0,6;0,456973268;-0,508318086
0,528233146;3,577561302;3,356882915;0,565685425;3,622154055;3,423448554;0,4;-0,4;0,427906245;-0,319837552
0,40052861;3,530315434;3,15028433;0,447213595;3,605551275;3,224903099;0,4;-0,2;0,41962766;-0,080757747
0,347659294;3,556787293;2,962742747;0,4;3,6;3,02654919;0,4;0;0,381003145;0,042677371
0,397588824;3,542300309;2,710698736;0,447213595;3,605551275;2,828427125;0,4;0,2;0,378598555;0,210929733
0,611587607;3,554550821;2,600974429;0,565685425;3,622154055;2,630589288;0,4;0,4;0,456854529;0,423890574
0,686284775;3,627760178;2,39377777;0,721110255;3,649657518;2,433105012;0,4;0,6;0,376898738;0,605382462
0,867289089;3,656945197;2,179615321;0,894427191;3,687817783;2,236067977;0,4;0,8;0,369693894;0,819279455
0,954790102;3,633416733;1,977491797;1,077032961;3,736308338;2,039607805;0,4;1;0,333309981;0,969327376
1,293798155;3,786653979;1,816486683;1,264911064;3,794733192;1,843908891;0,4;1,2;0,41355131;1,228825427
1,411640447;3,838460383;1,609704774;1,456021978;3,862641583;1,64924225;0,4;1,4;0,344569729;1,401863196
1,63325267;3,7875534;1,376565436;1,64924225;3,939543121;1,456021978;0,4;1,6;0,441919166;1,654840502
1,81446768;3,953820711;1,228544962;1,843908891;4,024922359;1,264911064;0,4;1,8;0,411613963;1,814476813
2,05347186;4,027344511;1,08948987;2,039607805;4,118252056;1,077032961;0,4;2;0,492283509;2,015591647
2,214579795;4,156967571;0,833979699;2,236067977;4,219004622;0,894427191;0,4;2,2;0,453937218;2,289240368
2,27537563;4,316775235;0,744956763;2,433105012;4,326661531;0,721110255;0,4;2,4;0,285496318;2,295878276
2,622592379;4,335025235;0,490911532;2,630589288;4,440720662;0,565685425;0,4;2,6;0,403509963;2,624405336
2,729800707;4,435671162;0,36328993;2,828427125;4,5607017;0,447213595;0,4;2,8;0,335405045;2,727130462
3,032423359;4,645974346;0,328955837;3,02654919;4,686149806;0,4;0,4;3;0,348181162;2,938328741
3,231599632;4,733111713;0,444247774;3,224903099;4,816637832;0,447213595;0,4;3,2;0,442875808;3,169356656
3,16824526;4,630476197;6,216331343;3,255764119;4,669047012;6,228964601;0,6;-3,2;0,404143549;-1,762154193
2,974354842;4,540250896;6,042458865;3,059411708;4,53431362;6,029925373;0,6;-3;0,377470984;-1,649870528
2,846585591;4,330077534;5,795569366;2,863564213;4,404543109;5,830951895;0,6;-2,8;0,691653788;-2,757362222
2,688933812;4,229364636;5,509921825;2,668332813;4,280186912;5,632051136;0,6;-2,6;0,84667511;-2,479809585
2,419140363;4,06317563;5,419974869;2,473863375;4,161730409;5,433231083;0,6;-2,4;0,456946141;-1,257854468
2,232218796;3,92243219;5,173689257;2,28035085;4,049691346;5,234500931;0,6;-2,2;0,689540874;-2,1253613
2,105465637;3,932739596;5,013534513;2,088061302;3,944616585;5,035871325;0,6;-2;0,671455892;-1,979905313
1,76781778;3,766387278;4,840575191;1,897366596;3,847076812;4,837354649;0,6;-1,8;0,43490755;-0,881843077
1,684753399;3,701248357;4,618598274;1,708800749;3,757658846;4,638965402;0,6;-1,6;0,62359468;-1,57078367
1,493010417;3,573851955;4,36937991;1,523154621;3,676955262;4,440720662;0,6;-1,4;0,691685311;-1,318345327
1,183804571;3,63437665;4,129602681;1,341640786;3,605551275;4,242640687;0,6;-1,2;0,491160503;-1,088349488
1,082218833;3,517075078;3,954803099;1,166190379;3,544009029;4,044749683;0,6;-1;0,595281035;-0,90692008
0,95257747;3,406149796;3,803880126;1;3,492849839;3,847076812;0,6;-0,8;0,637655453;-0,729162337
0,795299289;3,463380676;3,555476611;0,848528137;3,4525353;3,649657518;0,6;-0,6;0,590382345;-0,518258479
0,729545672;3,363618322;3,462538143;0,721110255;3,423448554;3,4525353;0,6;-0,4;0,638735706;-0,378417782
0,567624672;3,439145236;3,20294081;0,632455532;3,405877273;3,255764119;0,6;-0,2;0,557266576;-0,129997912
0,556332658;3,27656568;3,01704704;0,6;3,4;3,059411708;0,6;0;0,62001888;0,0352817
0,537204844;3,389931698;2,817140243;0,632455532;3,405877273;2,863564213;0,6;0,2;0,551414362;0,159127174
0,644593187;3,452708435;2,604818285;0,721110255;3,423448554;2,668332813;0,6;0,4;0,537475767;0,404868117
0,759190058;3,396320935;2,434358567;0,848528137;3,4525353;2,473863375;0,6;0,6;0,584190894;0,563640266
0,91255609;3,389312589;2,159297139;1;3,492849839;2,28035085;0,6;0,8;0,574350576;0,820017105
1,11027288;3,451422641;2,021247633;1,166190379;3,544009029;2,088061302;0,6;1;0,609040932;1,010146221
1,305951247;3,608721876;1,907358507;1,341640786;3,605551275;1,897366596;0,6;1,2;0,580431659;1,177398782
1,469988936;3,658902608;1,567539578;1,523154621;3,676955262;1,708800749;0,6;1,4;0,515146028;1,465665601
1,683198405;3,720831772;1,455339589;1,708800749;3,757658846;1,523154621;0,6;1,6;0,595707236;1,636257517
1,887575888;3,749646732;1,317093628;1,897366596;3,847076812;1,341640786;0,6;1,8;0,680069797;1,8385094
2,0184734;3,803292456;1,151867353;2,088061302;3,944616585;1,166190379;0,6;2;0,707185851;2,051025208
2,234940292;3,936940085;0,939813881;2,28035085;4,049691346;1;0,6;2,2;0,642038633;2,244559708
2,423233433;4,104381622;0,840268843;2,473863375;4,161730409;0,848528137;0,6;2,4;0,617831319;2,397119376
2,592725705;4,288037774;0,717479416;2,668332813;4,280186912;0,721110255;0,6;2,6;0,536255095;2,525534697
2,769916495;4,35655567;0,580942949;2,863564213;4,404543109;0,632455532;0,6;2,8;0,522585429;2,69226072
2,969375219;4,479456666;0,539618771;3,059411708;4,53431362;0,6;0,6;3;0,542188779;2,874831657
3,137017468;4,73509013;0,600637603;3,255764119;4,669047012;0,632455532;0,6;3,2;0,524067642;3,143472969
3,251239641;4,525695142;6,105181192;3,2984845;4,5254834;6,251399843;0,8;-3,2;0,933271603;-3,059777518
3,147973022;4,181625854;5,962030871;3,104834939;4,38634244;6,05309838;0,8;-3;1,171401813;-2,873940155
2,862015935;4,108661623;5,767696994;2,912043956;4,252058325;5,854912467;0,8;-2,8;0,940222165;-2,696135892
2,738325911;4,07805926;5,629514084;2,720294102;4,123105626;5,656854249;0,8;-2,6;0,91089415;-2,566721028
2,485076388;3,986993735;5,397492343;2,529822128;4;5,458937626;0,8;-2,4;0,810806018;-2,341964599
2,220624277;3,870813677;5,172445664;2,340939982;3,883297568;5,261178575;0,8;-2,2;0,701862941;-2,115359658
2,061214501;3,643712747;5,001470994;2,154065923;3,773592453;5,06359556;0,8;-2;0,80303237;-1,916084248
2,018570716;3,625777324;4,758377245;1,96977156;3,67151195;4,866210024;0,8;-1,8;0,965626606;-1,703248843
1,716044347;3,526569275;4,648561834;1,788854382;3,577708764;4,669047012;0,8;-1,6;0,749461013;-1,564392842
1,499472982;3,453323145;4,569880445;1,61245155;3,492849839;4,472135955;0,8;-1,4;0,557476544;-0,672361991
1,381266719;3,368051179;4,206360662;1,44222051;3,417601498;4,275511665;0,8;-1,2;0,812933479;-1,122229852
1,180134559;3,332175008;4,05321134;1,280624847;3,352610923;4,079215611;0,8;-1;0,738545936;-0,952357043
1,069943182;3,267592342;3,80864051;1,13137085;3,2984845;3,883297568;0,8;-0,8;0,802181512;-0,716182249
0,923291749;3,217610852;3,545575309;1;3,255764119;3,687817783;0,8;-0,6;0,810341948;-0,447535655
0,919439546;3,20966767;3,426206613;0,894427191;3,224903099;3,492849839;0,8;-0,4;0,829607233;-0,355094379
0,734538468;3,172559641;3,357760534;0,824621125;3,206243908;3,2984845;0,8;-0,2;0,754888626;-0,180346941
0,766612885;3,090010008;3,139349992;0,8;3,2;3,104834939;0,8;0;0,823472912;-0,016475703
0,736399867;3,112364953;2,849113932;0,824621125;3,206243908;2,912043956;0,8;0,2;0,788090567;0,178362157
0,826811939;3,158808401;2,636419701;0,894427191;3,224903099;2,720294102;0,8;0,4;0,801155235;0,323928436
0,882466465;3,229178386;2,495540913;1;3,255764119;2,529822128;0,8;0,6;0,761722078;0,542022201
1,057681193;3,292801561;2,419297085;1,13137085;3,2984845;2,340939982;0,8;0,8;0,784208553;0,710644124
